City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Puerto Ayora,EC,75.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
11,Kota Kinabalu,MY,75.18,few clouds,5.9749,116.0724,Gaya Centre Hotel
30,Isangel,VU,75.31,scattered clouds,-19.55,169.2667,Tanna Lodge
55,Ponta do Sol,PT,77.0,clear sky,32.6667,-17.1,Hotel do Campo
56,Malanje,AO,76.15,overcast clouds,-9.5402,16.341,Hotel Ginga
57,Atuona,PF,77.86,overcast clouds,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
65,Marsala,IT,76.93,clear sky,37.7966,12.4352,Villa Favorita Hotel e Resort
75,Cho Dok,VN,77.41,overcast clouds,10.7,105.1167,JADE AND SAPPHIRE GUESTHOUSE
100,Namatanai,PG,77.65,light rain,-3.6667,152.4333,Seagulls Inn Namatani
106,Nikolskoye,RU,75.09,overcast clouds,59.7035,30.7861,Tourist House - Sablino
111,Ribeira Grande,PT,75.6,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
116,Kochi,IN,77.02,overcast clouds,9.9399,76.2602,Trident Hotel Cochin
118,São João da Barra,BR,77.09,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
126,Kousséri,CM,76.96,broken clouds,12.0769,15.0306,Le Pilotis
128,Obzor,BG,79.34,overcast clouds,42.8167,27.8833,HVD Clubhotel Miramar
129,Kavieng,PG,79.83,broken clouds,-2.5744,150.7967,Nusa Island Retreat
140,Casablanca,MA,77.22,broken clouds,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
146,Jaisalmer,IN,78.76,overcast clouds,26.9147,70.9181,Hotel Fifu
153,Meulaboh,ID,75.74,overcast clouds,4.1363,96.1285,Kost Pria
155,Province of Mantua,IT,79.41,clear sky,45.1667,10.7833,Hotel la Favorita
157,Salalah,OM,75.25,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
160,Hobyo,SO,76.71,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
163,Kieta,PG,77.81,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
164,Shaowu,CN,77.31,overcast clouds,27.3409,117.4831,Yijie Express Hotel
168,Samarai,PG,79.9,broken clouds,-10.6167,150.6667,Nuli Sapi
170,Kutum,SD,79.68,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
172,Limbang,MY,75.31,overcast clouds,4.75,115.0,Purnama Hotel
182,Mahuva,IN,79.14,overcast clouds,21.0914,71.7622,Hotel Blue Diamond.
187,Faanui,PF,76.23,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
189,Kerema,PG,76.46,overcast clouds,-7.9631,145.7785,Frena Lodge
191,San Nicolas,PH,78.71,scattered clouds,18.1725,120.5953,NORTHVIEW Hotel
199,Dingle,PH,75.83,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
204,Korla,CN,76.6,scattered clouds,41.7597,86.1469,Gulisitan Hotel
206,Chamba,IN,75.7,broken clouds,32.5667,76.1333,NotOnMap - Rafi's House
213,San Juan,AR,75.52,broken clouds,-31.5375,-68.5364,Hotel Provincial
216,Chippewa Falls,US,78.87,heavy intensity rain,44.9369,-91.3929,AmericInn by Wyndham Chippewa Falls
224,Pemba,MZ,75.9,broken clouds,-12.974,40.5178,Guesthouse Samotina
236,Nouadhibou,MR,78.78,sand,20.931,-17.0347,El Medina
246,San Quintín,MX,76.84,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
252,Marabu,MY,76.24,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
256,Badhni Kalān,IN,77.22,scattered clouds,30.6833,75.2833,Dana patti Dharamshala
273,Cattolica,IT,78.87,clear sky,43.9575,12.7376,Hotel Antares
283,Touros,BR,79.38,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
284,Lorengau,PG,79.74,clear sky,-2.0226,147.2712,Lorengau Harbourside Hotel
295,Giaveno,IT,76.71,overcast clouds,45.047,7.3492,"""Bed & Breakfast"" The Butterfly Garden"
299,San Vicente,AR,77.11,clear sky,-26.6167,-54.1333,Complejo Turístico Farelluk
309,Show Low,US,75.49,broken clouds,34.2542,-110.0298,Hampton Inn & Suites Show Low-Pinetop
314,Chechat,IN,76.14,overcast clouds,24.7667,75.8833,"Shri raghunath palace, hotal & restrorent"
320,Shelburne,CA,76.6,broken clouds,44.0787,-80.2041,The Retreat at the Farm
321,Margate,GB,76.1,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
328,Hay River,CA,75.11,few clouds,60.8156,-115.7999,Ptarmigan Inn
330,Katsuura,JP,76.55,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
333,Upleta,IN,78.13,overcast clouds,21.7333,70.2833,Salman odiya homes
337,Esim,GH,75.02,clear sky,4.8699,-2.2405,Axim Beach Resort And Spa
338,Kismayo,SO,75.42,overcast clouds,-0.3582,42.5454,Agan-Hotel
341,Wajir,KE,79.83,clear sky,1.7471,40.0573,Mahatallah Hotel
353,Marsá Maţrūḩ,EG,79.77,clear sky,31.3525,27.2453,Beau Site
361,Poso,ID,75.49,broken clouds,-1.3959,120.7524,Hotel 77 Poso
367,Camalú,MX,77.36,clear sky,30.85,-116.0667,La Cueva del Pirata
369,São Filipe,CV,78.66,few clouds,14.8961,-24.4956,Hotel Xaguate
371,Oussouye,SN,75.7,overcast clouds,12.485,-16.5469,Auberge du Routard
379,Douala,CM,75.16,overcast clouds,4.0483,9.7043,Hôtel Prince De Galles Douala
387,Mahon,ES,79.36,clear sky,39.8885,4.2658,ARTIEM Capri
390,Ardakān,IR,76.6,clear sky,32.31,54.0175,Ardakan Hotel
391,Ambon City,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
394,Vanimo,PG,78.17,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
405,Caravelas,BR,75.07,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
408,Tabou,CI,76.6,overcast clouds,4.423,-7.3528,hotêl doufoulougou
422,Naze,JP,79.9,overcast clouds,28.3667,129.4833,Shishime Hotel
424,Padang,ID,75.7,light rain,-0.9492,100.3543,Mercure Padang
450,Verāval,IN,79.93,scattered clouds,20.9,70.3667,Lords Inn Somnath
455,Rāmpur,IN,79.21,broken clouds,28.8167,79.0333,OYO 38687 Hotel Shivansh
465,Parrita,CR,79.81,overcast clouds,9.5201,-84.3225,Beso del Viento
469,Fayaoué,NC,75.38,broken clouds,-20.65,166.5333,Chez Dydyce Guesthouse
470,Turkmenabat,TM,75.65,clear sky,39.0733,63.5786,"Гостиница ""Yupek Yoly"" (Шелковый путь)"
474,Katobu,ID,75.07,overcast clouds,-4.9408,122.5276,La Ode Husein
485,Manga,BF,76.28,broken clouds,11.6636,-1.0731,Auberge du 11 décembre de la cité CNSS à Manga
486,Khani,GE,78.37,broken clouds,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
487,Subiaco,IT,77.36,broken clouds,41.9254,13.0941,B&B Al Campo
494,Cabedelo,BR,76.69,overcast clouds,-6.9811,-34.8339,Pousada Camboinha
506,Dawson Creek,CA,79.0,clear sky,55.7666,-120.2362,Peace Villa Motel
524,Nepānagar,IN,75.29,few clouds,21.4667,76.4,Nemade Farm House Siwal
525,Hambantota,LK,77.34,few clouds,6.1241,81.1185,Bungalow 63
528,Sokoni,TZ,76.17,broken clouds,-6.4333,39.55,Ujamaa Beach Resort
549,Yenagoa,NG,76.33,broken clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
568,Kozachi Laheri,UA,79.29,clear sky,46.7037,32.9776,Рибацкая база Vitalla
573,Ranong,TH,79.41,light rain,9.9658,98.6348,Numsai Khaosuay Resort Ranong
575,Warstein,DE,78.8,overcast clouds,51.45,8.3667,Romantik Hotel Knippschild
578,Tateyama,JP,75.09,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
584,Oddur,SO,76.26,overcast clouds,4.1213,43.8894,Banjanay Hotel
588,Fukuechō,JP,79.79,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
592,Maragogi,BR,75.58,light rain,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
