,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Sydney,AU,-33.8679,151.2073,50.63,72,0,10.36,clear sky
1,Barrow,US,71.2906,-156.7887,41.02,100,100,5.75,mist
2,Yumen,CN,40.2833,97.2,70.3,43,99,8.93,overcast clouds
3,Kununurra,AU,-15.7667,128.7333,64.38,17,7,9.22,clear sky
4,Port Hardy,CA,50.6996,-127.4199,59.18,94,75,4.61,mist
5,Ushuaia,AR,-54.8,-68.3,46.06,39,40,12.66,scattered clouds
6,Bud,US,39.447,-86.1758,83.89,55,0,3.71,clear sky
7,Puerto Ayora,EC,-0.7393,-90.3518,75.16,82,96,5.01,overcast clouds
8,Pavlodar,KZ,52.3,76.95,53.4,71,0,2.24,clear sky
9,Rikitea,PF,-23.1203,-134.9692,69.08,70,100,13.76,overcast clouds
10,Vila Franca do Campo,PT,37.7167,-25.4333,73.81,68,100,2.04,overcast clouds
11,Kota Kinabalu,MY,5.9749,116.0724,75.18,88,20,5.01,few clouds
12,Albany,US,42.6001,-73.9662,85.23,54,84,1.01,broken clouds
13,Lüderitz,NA,-26.6481,15.1594,57.51,88,2,3.4,clear sky
14,Ostrovnoy,RU,68.0531,39.5131,46.76,88,100,3.36,overcast clouds
15,Butaritari,KI,3.0707,172.7902,81.46,67,6,8.86,clear sky
16,Turukhansk,RU,65.8167,87.9833,55.38,95,100,7.67,overcast clouds
17,Kommunar,RU,59.6206,30.39,74.73,51,95,6.91,overcast clouds
18,Dikson,RU,73.5069,80.5464,42.19,98,100,11.25,light rain
19,Beringovskiy,RU,63.05,179.3167,49.44,95,100,18.81,light rain
20,Kruisfontein,ZA,-34.0033,24.7314,69.89,29,31,7.4,scattered clouds
21,Fortuna,US,40.5982,-124.1573,58.12,100,100,9.22,overcast clouds
22,Norman Wells,CA,65.282,-126.8329,59.04,77,75,4.61,smoke
23,Busselton,AU,-33.65,115.3333,53.49,66,94,8.37,overcast clouds
24,Hermanus,ZA,-34.4187,19.2345,54.81,78,0,14.88,clear sky
25,Marawi,PH,7.9986,124.2928,67.82,93,82,2.73,broken clouds
26,Dunedin,NZ,-45.8742,170.5036,44.8,62,100,7.0,overcast clouds
27,Porto Murtinho,BR,-21.6989,-57.8825,94.59,20,53,7.78,broken clouds
28,Helong,CN,42.5397,128.9972,53.1,87,0,4.72,clear sky
29,Hofn,IS,64.2539,-15.2082,53.62,87,75,6.91,broken clouds
30,Isangel,VU,-19.55,169.2667,75.31,88,40,6.91,scattered clouds
31,Saint Paul Harbor,US,57.79,-152.4072,54.91,94,100,0.0,overcast clouds
32,Solnechnyy,RU,50.7214,136.6319,53.89,75,67,3.65,broken clouds
33,George Town,MY,5.4112,100.3354,80.53,90,20,3.44,few clouds
34,Pampas,PE,-12.4,-74.9,63.46,29,0,9.28,clear sky
35,Pringsewu,ID,-5.3582,104.9744,72.63,97,100,3.29,overcast clouds
36,Qaanaaq,GL,77.484,-69.3632,37.24,97,100,9.4,overcast clouds
37,Jamestown,US,42.097,-79.2353,80.06,57,36,4.0,scattered clouds
38,Mbeya,TZ,-8.9,33.45,54.75,81,24,7.29,few clouds
39,Nioro,GM,13.35,-15.75,75.45,86,100,0.49,overcast clouds
40,Cherskiy,RU,68.75,161.3,54.27,74,83,5.95,broken clouds
41,Edéa,CM,3.8,10.1333,73.17,93,100,2.13,overcast clouds
42,Yellowknife,CA,62.456,-114.3525,64.92,59,75,9.22,smoke
43,Provideniya,RU,64.3833,-173.3,47.39,84,96,7.14,overcast clouds
44,Khatanga,RU,71.9667,102.5,47.44,95,100,15.41,overcast clouds
45,Saskylakh,RU,71.9167,114.0833,40.55,72,100,10.13,overcast clouds
46,Santa Isabel Rio Negro,BR,-0.4139,-65.0192,81.5,72,66,2.95,broken clouds
47,Nizwá,OM,22.9333,57.5333,93.31,28,99,8.08,overcast clouds
48,Xaçmaz,AZ,41.4635,48.806,70.23,56,0,3.65,clear sky
49,Avarua,CK,-21.2078,-159.775,73.45,73,20,6.91,few clouds
50,Iwanai,JP,42.9744,140.5089,57.47,85,100,3.94,overcast clouds
51,Vaini,TO,-21.2,-175.2,69.96,94,20,4.61,few clouds
52,Yabrūd,SY,33.9674,36.6574,70.93,42,0,1.5,clear sky
53,Klaksvík,FO,62.2266,-6.589,56.32,97,100,2.8,overcast clouds
54,Mar del Plata,AR,-38.0023,-57.5575,69.82,59,0,10.36,clear sky
55,Ponta do Sol,PT,32.6667,-17.1,77.0,75,1,3.47,clear sky
56,Malanje,AO,-9.5402,16.341,76.15,26,90,3.69,overcast clouds
57,Atuona,PF,-9.8,-139.0333,77.86,62,92,8.61,overcast clouds
58,Saldanha,ZA,-33.0117,17.9442,57.43,84,100,17.85,overcast clouds
59,Cape Town,ZA,-33.9258,18.4232,59.41,76,75,19.57,broken clouds
60,Bluff,NZ,-46.6,168.3333,39.6,78,52,8.16,broken clouds
61,Makar'yev,RU,57.8797,43.8069,69.1,52,23,4.09,few clouds
62,Takoradze,GH,4.8845,-1.7554,74.73,83,46,5.79,scattered clouds
63,Teguise,ES,29.0605,-13.564,73.62,69,40,19.57,scattered clouds
64,Bilma,NE,18.6853,12.9164,99.82,18,98,5.99,overcast clouds
65,Marsala,IT,37.7966,12.4352,76.93,67,0,10.07,clear sky
66,Chui,UY,-33.6971,-53.4616,64.08,79,99,5.08,overcast clouds
67,Punta Arenas,CL,-53.15,-70.9167,44.62,70,25,27.63,scattered clouds
68,Mataura,NZ,-46.1927,168.8643,33.06,90,100,2.77,overcast clouds
69,Souillac,MU,-20.5167,57.5167,70.18,73,40,11.5,scattered clouds
70,Cidreira,BR,-30.1811,-50.2056,65.77,71,0,6.87,clear sky
71,East London,ZA,-33.0153,27.9116,70.74,56,0,5.75,clear sky
72,Havre-St-Pierre,CA,50.2334,-63.5986,68.36,88,75,10.36,broken clouds
73,New Norfolk,AU,-42.7826,147.0587,46.71,87,100,3.02,overcast clouds
74,Port Alfred,ZA,-33.5906,26.891,71.19,43,2,11.48,clear sky
75,Cho Dok,VN,10.7,105.1167,77.41,92,100,3.47,overcast clouds
76,Saint George,US,37.1041,-113.5841,98.44,26,36,4.0,scattered clouds
77,La Salle,US,41.3334,-89.0918,83.25,49,0,3.44,clear sky
78,Wawa,NG,9.9022,4.4192,75.13,82,98,2.3,overcast clouds
79,Mahébourg,MU,-20.4081,57.7,70.09,73,40,11.5,scattered clouds
80,Altay,CN,47.8667,88.1167,55.81,30,0,7.34,clear sky
81,Soyo,AO,-6.1349,12.3689,71.94,86,82,8.28,broken clouds
82,Luanda,AO,-8.8368,13.2343,69.8,88,100,6.91,overcast clouds
83,West Wendover,US,40.7391,-114.0733,88.95,19,100,9.89,overcast clouds
84,Dongsheng,CN,39.8161,109.9776,58.68,43,100,7.11,overcast clouds
85,Thompson,CA,55.7435,-97.8558,60.96,39,20,4.61,few clouds
86,Saint-Philippe,RE,-21.3585,55.7679,71.19,76,34,12.8,scattered clouds
87,Hobart,AU,-42.8794,147.3294,47.05,86,40,6.91,scattered clouds
88,Camacha,PT,33.0833,-16.3333,71.02,73,20,11.5,few clouds
89,Port Lincoln,AU,-34.7333,135.8667,53.2,84,100,6.85,overcast clouds
90,Englewood,US,39.6478,-104.9878,85.82,34,0,1.99,clear sky
91,Apricena,IT,41.7839,15.4437,72.19,72,58,5.53,broken clouds
92,Pereira Barreto,BR,-20.6383,-51.1092,87.78,21,58,4.61,broken clouds
93,Ketchikan,US,55.3422,-131.6461,70.86,70,6,5.39,clear sky
94,Kapaa,US,22.0752,-159.319,82.38,79,3,7.31,clear sky
95,Kudahuvadhoo,MV,2.6708,72.8944,81.21,74,100,7.63,overcast clouds
96,Brigantine,US,39.4101,-74.3646,88.05,63,83,11.01,broken clouds
97,Torbay,CA,47.6666,-52.7314,74.17,86,75,20.71,broken clouds
98,Bukachacha,RU,52.9833,116.9167,37.65,94,8,3.04,clear sky
99,Kahului,US,20.8947,-156.47,84.97,74,23,10.0,few clouds
100,Namatanai,PG,-3.6667,152.4333,77.65,83,94,3.49,light rain
101,Santa Cruz de la Sierra,BO,-17.8,-63.1667,91.45,31,7,14.97,clear sky
102,Alofi,NU,-19.0595,-169.9187,67.89,94,9,3.44,clear sky
103,Ponta Delgada,PT,37.7333,-25.6667,74.12,68,75,4.61,broken clouds
104,Tazovsky,RU,67.4667,78.7,50.18,82,55,14.23,light rain
105,Visby,SE,57.6409,18.296,65.05,82,20,4.61,few clouds
106,Nikolskoye,RU,59.7035,30.7861,75.09,50,97,6.29,overcast clouds
107,Kosino,RU,58.4127,51.2782,66.69,68,97,4.09,overcast clouds
108,Shache,CN,38.4167,77.2406,66.06,59,100,10.11,overcast clouds
109,Leningradskiy,RU,69.3833,178.4167,38.57,87,54,8.75,broken clouds
110,Oudtshoorn,ZA,-33.5907,22.2014,53.96,26,2,5.37,clear sky
111,Ribeira Grande,PT,38.5167,-28.7,75.6,78,40,2.3,scattered clouds
112,Pisco,PE,-13.7,-76.2167,64.02,82,75,8.05,mist
113,Khingansk,RU,49.1167,131.1833,48.56,95,100,2.28,overcast clouds
114,Abu Samrah,SY,35.3029,37.1841,80.08,53,0,10.58,clear sky
115,Kupang,ID,-10.1667,123.5833,74.73,81,100,12.08,overcast clouds
116,Kochi,IN,9.9399,76.2602,77.02,89,100,10.92,overcast clouds
117,Cap Malheureux,MU,-19.9842,57.6142,68.47,73,80,8.99,light rain
118,São João da Barra,BR,-21.6403,-41.0511,77.09,81,65,16.51,broken clouds
119,Castro,BR,-24.7911,-50.0119,68.0,51,22,5.1,few clouds
120,Kondinskoye,RU,59.6481,67.41,66.47,78,59,9.19,broken clouds
121,Sitka,US,57.0531,-135.33,68.79,77,88,3.87,overcast clouds
122,Alta Floresta,BR,-9.8756,-56.0861,100.22,22,20,4.61,few clouds
123,Jambi City,ID,-1.6,103.6167,73.27,96,90,3.09,overcast clouds
124,Isabela,PH,6.7085,121.9711,73.45,87,100,6.31,moderate rain
125,Hamilton,US,39.1834,-84.5333,86.76,50,0,1.01,clear sky
126,Kousséri,CM,12.0769,15.0306,76.96,88,75,2.3,broken clouds
127,Hithadhoo,MV,-0.6,73.0833,81.36,73,100,5.1,overcast clouds
128,Obzor,BG,42.8167,27.8833,79.34,80,100,10.78,overcast clouds
129,Kavieng,PG,-2.5744,150.7967,79.83,80,80,6.64,broken clouds
130,Mattru,SL,7.6244,-11.8332,72.37,99,100,3.69,heavy intensity rain
131,Kaitangata,NZ,-46.2817,169.8464,36.63,80,100,3.56,overcast clouds
132,Bodītī,ET,6.9667,37.8667,59.61,75,98,2.46,overcast clouds
133,San Antonio,US,29.4241,-98.4936,91.85,60,75,4.61,broken clouds
134,Makamba,BI,-4.1348,29.804,67.32,49,3,0.43,clear sky
135,Port Blair,IN,11.6667,92.75,80.64,89,40,1.14,mist
136,Mapastepec,MX,15.4333,-92.9,84.25,77,79,4.47,broken clouds
137,Waihi Beach,NZ,-37.4,175.9333,51.82,88,100,1.99,overcast clouds
138,Bara,NG,10.3744,10.7288,73.51,89,100,2.28,moderate rain
139,The Valley,AI,18.217,-63.0578,89.46,70,40,17.27,scattered clouds
140,Casablanca,MA,33.5928,-7.6192,77.22,69,75,9.22,broken clouds
141,Hilo,US,19.7297,-155.09,89.28,79,38,5.01,scattered clouds
142,Dolzhanskaya,RU,46.6311,37.8039,82.4,42,0,24.0,clear sky
143,Husavik,IS,66.0449,-17.3389,48.61,97,100,6.2,overcast clouds
144,Borogontsy,RU,62.6683,131.1683,44.35,95,100,6.42,overcast clouds
145,Tuktoyaktuk,CA,69.4541,-133.0374,55.4,94,100,9.22,light rain
146,Jaisalmer,IN,26.9147,70.9181,78.76,78,100,18.05,overcast clouds
147,Ayan,RU,56.45,138.1667,53.67,66,70,12.17,broken clouds
148,Burnie,AU,-41.0667,145.9167,48.94,76,36,7.7,scattered clouds
149,Dolores,AR,-36.3132,-57.6792,70.36,42,5,5.21,clear sky
150,Ahipara,NZ,-35.1667,173.1667,57.58,95,100,14.03,light rain
151,Port Elizabeth,ZA,-33.918,25.5701,70.32,45,0,3.0,clear sky
152,Hong Kong,HK,22.2855,114.1577,81.25,89,100,14.0,overcast clouds
153,Meulaboh,ID,4.1363,96.1285,75.74,91,100,4.52,overcast clouds
154,Yomou,GN,7.5603,-9.2653,68.76,98,99,4.54,light rain
155,Province of Mantua,IT,45.1667,10.7833,79.41,68,0,1.01,clear sky
156,Nanortalik,GL,60.1432,-45.2371,44.22,90,37,1.7,scattered clouds
157,Salalah,OM,17.0151,54.0924,75.25,96,100,3.42,overcast clouds
158,Kathu,TH,7.9178,98.3332,83.75,87,100,11.03,moderate rain
159,Rio Claro,BR,-22.4114,-47.5614,82.45,27,23,2.66,few clouds
160,Hobyo,SO,5.3505,48.5268,76.71,81,100,22.86,overcast clouds
161,Cabo San Lucas,MX,22.8909,-109.9124,94.6,61,0,9.26,clear sky
162,Nsanje,MW,-16.92,35.262,72.9,54,61,6.85,broken clouds
163,Kieta,PG,-6.2167,155.6333,77.81,83,100,2.37,overcast clouds
164,Shaowu,CN,27.3409,117.4831,77.31,84,96,2.68,overcast clouds
165,Puerto Baquerizo Moreno,EC,-0.9,-89.6,70.79,73,75,6.91,broken clouds
166,Cururupu,BR,-1.8283,-44.8683,85.93,58,95,7.02,overcast clouds
167,Sturgeon Bay,US,44.8342,-87.377,82.36,77,35,5.32,scattered clouds
168,Samarai,PG,-10.6167,150.6667,79.9,79,76,13.69,broken clouds
169,Tasiilaq,GL,65.6145,-37.6368,41.85,66,65,3.58,broken clouds
170,Kutum,SD,14.2,24.6667,79.68,54,7,4.79,clear sky
171,Maracaju,BR,-21.6144,-55.1683,85.41,32,71,7.47,broken clouds
172,Limbang,MY,4.75,115.0,75.31,97,100,2.82,overcast clouds
173,Mehamn,NO,71.0357,27.8492,49.95,87,0,0.0,clear sky
174,Dori,BF,14.0354,-0.0345,84.2,58,100,11.3,overcast clouds
175,Shellbrook,CA,53.2168,-106.4011,69.03,54,84,1.03,broken clouds
176,Clyde River,CA,70.4692,-68.5914,41.23,81,75,8.05,broken clouds
177,Tuatapere,NZ,-46.1333,167.6833,36.59,80,100,3.33,overcast clouds
178,Edwardsville,US,38.8114,-89.9532,88.23,56,0,3.0,clear sky
179,Talnakh,RU,69.4865,88.3972,49.21,88,72,6.51,broken clouds
180,Bredasdorp,ZA,-34.5322,20.0403,55.0,81,4,0.49,clear sky
181,Imphal,IN,24.8167,93.95,71.08,98,70,1.63,broken clouds
182,Mahuva,IN,21.0914,71.7622,79.14,86,99,13.2,overcast clouds
183,Laurel,US,39.0993,-76.8483,90.79,50,40,8.05,scattered clouds
184,Noumea,NC,-22.2763,166.4572,70.0,99,0,4.03,clear sky
185,Bahir Dar,ET,11.5936,37.3908,59.97,92,87,4.74,moderate rain
186,Yinchuan,CN,38.4681,106.2731,67.06,56,99,1.72,overcast clouds
187,Faanui,PF,-16.4833,-151.75,76.23,78,0,9.98,light rain
188,Sioux Lookout,CA,50.1001,-91.917,68.07,64,75,6.91,broken clouds
189,Kerema,PG,-7.9631,145.7785,76.46,90,100,3.96,overcast clouds
190,Rzhaksa,RU,52.1338,42.0264,73.76,36,54,8.43,broken clouds
191,San Nicolas,PH,18.1725,120.5953,78.71,94,40,3.44,scattered clouds
192,Breytovo,RU,58.2993,37.8617,69.04,53,26,7.23,scattered clouds
193,Pokhara,NP,28.2333,83.9833,74.21,92,99,1.63,overcast clouds
194,Timrå,SE,62.487,17.3257,62.67,88,75,5.75,broken clouds
195,Hasaki,JP,35.7333,140.8333,73.8,87,100,13.2,overcast clouds
196,Chokurdakh,RU,70.6333,147.9167,38.79,88,99,11.39,overcast clouds
197,Tiksi,RU,71.6872,128.8694,38.35,89,45,6.15,scattered clouds
198,Plettenberg Bay,ZA,-34.0527,23.3716,66.33,54,1,3.06,clear sky
199,Dingle,PH,10.9995,122.6711,75.83,91,98,1.81,overcast clouds
200,Goderich,CA,43.7501,-81.7165,74.91,78,0,8.05,clear sky
201,Poopó,BO,-18.3667,-66.9667,61.57,5,5,11.63,clear sky
202,San Cristobal,VE,7.7669,-72.225,84.38,50,31,9.04,scattered clouds
203,Pombas,CV,17.1503,-25.0201,80.38,81,21,10.0,few clouds
204,Korla,CN,41.7597,86.1469,76.6,26,45,7.31,scattered clouds
205,Yulara,AU,-25.2406,130.9889,41.67,54,0,8.88,clear sky
206,Chamba,IN,32.5667,76.1333,75.7,83,77,2.33,broken clouds
207,Pajapan,MX,18.25,-94.7,87.28,62,94,4.9,overcast clouds
208,Surgut,RU,61.25,73.4167,68.18,72,0,11.18,clear sky
209,Abu Dhabi,AE,24.4667,54.3667,98.71,60,0,5.75,clear sky
210,Muros,ES,42.7762,-9.0603,73.09,78,22,11.45,few clouds
211,Yago,MX,21.8333,-105.0667,92.91,53,47,4.72,scattered clouds
212,Puerto del Rosario,ES,28.5004,-13.8627,74.95,83,20,20.71,few clouds
213,San Juan,AR,-31.5375,-68.5364,75.52,13,78,6.58,broken clouds
214,Brasília de Minas,BR,-16.2064,-44.4333,83.39,24,9,6.08,clear sky
215,Meïganga,CM,6.5167,14.3,66.27,95,100,4.21,overcast clouds
216,Chippewa Falls,US,44.9369,-91.3929,78.87,77,100,9.22,heavy intensity rain
217,Ancud,CL,-41.8697,-73.8203,45.23,62,100,5.88,overcast clouds
218,Carnarvon,AU,-24.8667,113.6333,66.72,48,4,9.8,clear sky
219,Novosysoyevka,RU,44.235,133.3642,51.1,81,45,2.13,scattered clouds
220,Kargasok,RU,59.0556,80.8572,59.14,84,25,9.06,scattered clouds
221,Lebu,CL,-37.6167,-73.65,50.04,74,81,18.3,broken clouds
222,Krapivinskiy,RU,54.9992,86.8133,52.07,91,20,0.69,few clouds
223,Phalombe,MW,-15.8064,35.6507,62.38,63,6,3.74,clear sky
224,Pemba,MZ,-12.974,40.5178,75.9,78,75,10.36,broken clouds
225,Celano,IT,42.0855,13.5398,71.01,70,83,2.42,broken clouds
226,Roswell,US,34.0232,-84.3616,86.76,76,100,5.48,overcast clouds
227,Batemans Bay,AU,-35.7167,150.1833,52.11,66,98,4.99,overcast clouds
228,Flinders,AU,-34.5833,150.8552,51.39,72,12,9.55,few clouds
229,Cassilândia,BR,-19.1133,-51.7342,88.12,20,16,5.77,few clouds
230,Umeå,SE,63.8284,20.2597,57.13,88,0,3.44,clear sky
231,Mumford,GH,5.2618,-0.759,73.36,90,5,7.58,clear sky
232,Anadyr,RU,64.75,177.4833,52.3,87,75,20.13,broken clouds
233,Bowen,AU,-20.0167,148.2333,55.38,52,0,13.22,clear sky
234,Synya,RU,65.3718,58.0387,50.23,71,0,4.43,clear sky
235,Bethel,US,41.3712,-73.414,89.85,53,9,3.0,clear sky
236,Nouadhibou,MR,20.931,-17.0347,78.78,73,28,20.71,sand
237,Zhalantun,CN,48.0,122.7167,56.7,71,100,12.53,light rain
238,Waipawa,NZ,-41.4122,175.5153,44.85,94,77,5.44,broken clouds
239,Upernavik,GL,72.7868,-56.1549,42.67,76,100,3.78,overcast clouds
240,Airai,TL,-8.9266,125.4092,54.64,90,100,4.16,overcast clouds
241,Acaraú,BR,-2.8856,-40.12,83.53,63,50,17.67,scattered clouds
242,Bocas del Toro,PA,9.3333,-82.25,82.54,71,100,6.11,overcast clouds
243,Tonstad,NO,58.6626,6.7169,64.54,78,100,17.52,overcast clouds
244,Port Macquarie,AU,-31.4333,152.9167,37.89,72,0,6.31,clear sky
245,Klyuchi,RU,52.2667,79.1667,58.06,58,0,6.51,clear sky
246,San Quintín,MX,30.4833,-115.95,76.84,68,8,7.74,clear sky
247,Mount Isa,AU,-20.7333,139.5,51.57,28,0,12.66,clear sky
248,Mutsu,JP,41.2894,141.2169,62.17,80,4,1.19,clear sky
249,Alyangula,AU,-13.8483,136.4192,68.88,50,71,20.65,broken clouds
250,Gemeente Wageningen,NL,51.9667,5.6667,82.49,64,94,4.61,overcast clouds
251,Władysławowo,PL,54.7909,18.4009,72.01,93,20,9.17,few clouds
252,Marabu,MY,4.4148,114.0089,76.24,92,100,7.45,overcast clouds
253,Saint-Pierre,RE,-21.3393,55.4781,71.28,70,3,20.71,clear sky
254,Joshīmath,IN,30.5667,79.5667,69.89,89,100,1.72,overcast clouds
255,Kholodnyy,RU,62.7167,147.95,46.31,83,100,12.73,overcast clouds
256,Badhni Kalān,IN,30.6833,75.2833,77.22,90,40,6.71,scattered clouds
257,Yangi Marg`ilon,UZ,40.4272,71.7189,81.32,29,100,6.91,overcast clouds
258,Kharp,RU,66.8014,65.8081,51.98,70,61,19.39,broken clouds
259,Manat,PH,7.5327,126.0173,73.15,94,70,2.37,broken clouds
260,Tura,IN,25.5198,90.2201,74.19,93,13,5.12,few clouds
261,Ukiah,US,39.1502,-123.2078,99.45,16,0,4.85,clear sky
262,Tashtyp,RU,52.7939,89.8983,47.14,75,11,0.65,few clouds
263,Asău,RO,46.4333,26.4,72.52,53,88,5.93,overcast clouds
264,Port Said,EG,31.2565,32.2841,81.95,74,0,18.34,clear sky
265,Whyalla,AU,-33.0333,137.5833,48.99,82,23,5.1,few clouds
266,Imuris,MX,30.7833,-110.8667,82.22,61,100,5.48,light rain
267,Port Moresby,PG,-9.4431,147.1797,72.82,100,75,5.75,broken clouds
268,Henties Bay,NA,-22.116,14.2845,55.51,93,5,5.77,clear sky
269,Xingyi,CN,24.1877,102.817,62.62,96,100,3.04,overcast clouds
270,Kuruman,ZA,-27.4524,23.4325,59.99,30,0,7.63,clear sky
271,Mahanoro,MG,-19.9,48.8,66.7,85,83,2.71,light rain
272,Pak Phanang,TH,8.3511,100.202,80.13,84,100,8.43,overcast clouds
273,Cattolica,IT,43.9575,12.7376,78.87,64,0,5.75,clear sky
274,Morro Bay,US,35.3658,-120.8499,92.93,39,22,8.99,few clouds
275,Marquette,US,46.5333,-87.6335,65.82,94,100,6.53,overcast clouds
276,Esperance,AU,-33.8667,121.9,48.15,75,100,11.74,overcast clouds
277,Severo-Kuril'sk,RU,50.6789,156.125,53.19,93,100,22.41,overcast clouds
278,Acapulco de Juárez,MX,16.8634,-99.8901,86.77,64,85,6.46,overcast clouds
279,Chumikan,RU,54.7183,135.315,49.73,82,37,7.63,scattered clouds
280,Gambēla,ET,8.25,34.5833,70.12,90,100,3.44,overcast clouds
281,Maniitsoq,GL,65.4167,-52.9,41.68,95,100,14.83,light rain
282,Arraial do Cabo,BR,-22.9661,-42.0278,67.42,86,99,21.14,overcast clouds
283,Touros,BR,-5.1989,-35.4608,79.38,67,58,18.3,broken clouds
284,Lorengau,PG,-2.0226,147.2712,79.74,72,6,5.44,clear sky
285,Røros,NO,62.5747,11.3842,58.84,67,0,0.0,clear sky
286,Yatou,CN,37.15,122.3833,69.1,69,100,4.76,light rain
